ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
62,147673,Broadway,West 242 Street,240 Street,SB,09/15/2014,159,133,70,81,100,207,417,689,867,642,595,534,567,653,745,771,916,885,877,708,527,418,319,233
62,158447,Broadway,West 242 Street,240 Street,NB,09/15/2014,159,133,70,81,100,207,417,689,867,642,595,534,567,653,745,771,916,885,877,708,527,418,319,233
62,255653,Broadway,West 242 Street,240 Street,SB,09/15/2014,59,49,35,41,38,91,159,272,255,247,160,166,181,176,202,247,284,250,235,205,175,112,90,57
71,139620,Bronx River Parkway,Bronx River,East Gun Hill Road,NB,09/15/2014,474,250,166,208,427,1348,3754,3889,3444,2699,2117,1913,1881,1964,2304,2572,2785,3166,2709,2190,1707,1338,1016,749
71,139618,Bronx River Parkway,East Gun Hill Road,Bronx River,SB,09/15/2014,470,268,156,145,270,575,1445,2497,2740,1996,1600,1636,1792,1916,2281,3416,3928,3591,3178,2220,1510,1210,583,509
76,70364,Brook Avenue,East 152 Street,East 153 Street,SB,09/15/2014,42,19,19,16,23,48,114,295,328,258,264,135,220,278,337,369,361,398,245,170,118,89,59,51
89,69780,East 138 Street,Canal Place,Rider Avenue,EB,09/15/2014,193,151,125,116,158,224,401,659,654,528,432,478,451,488,499,570,643,667,539,479,398,326,275,237
89,69780,East 138 Street,Rider Avenue,Canal Place,WB,09/15/2014,143,127,113,84,121,175,367,632,723,593,461,500,510,568,628,722,702,652,509,418,352,271,193,192
102,69979,Concourse Village West,East 156 Street,East 156 Street,NB,09/15/2014,46,26,20,14,21,58,123,450,424,348,274,217,223,191,246,295,367,360,244,202,159,105,83,71
104,9001519,Courtladt Avenue,East 153 Street,East 154 Street,NB,09/15/2014,42,32,21,23,36,28,57,163,186,188,191,182,155,172,185,239,246,236,219,176,133,110,86,55
108,276970,East 144 Street,A J Griffin Place,Grand Concourse,WB,09/15/2014,56,20,13,27,37,58,93,253,260,169,158,184,205,180,215,315,290,304,214,180,159,106,59,49
367,60160,110 AVENUE,155 STREET,156 STREET,EB,02/27/2016,0,0,0,0,0,0,0,0,0,0,0,135,135,150,158,180,162,162,136,131,106,112,109,79
108,276970,East 144 Street,Grand Concourse,A J Griffin Place,EB,09/15/2014,57,21,27,28,29,87,218,462,462,300,226,203,201,194,187,271,314,305,254,169,136,94,73,79
